plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Ophthalmopsylla volgensis,Pygeretmus shitkovi,pollination,WebOfLife,1,,
Citellophilus ullus,Rhombomys opimus,pollination,WebOfLife,1,,
Coptopsylla lamellifer,Rhombomys opimus,pollination,WebOfLife,5,,
Ctenophthalmus dolichus,Rhombomys opimus,pollination,WebOfLife,5,,
Echidnophaga oschanini,Rhombomys opimus,pollination,WebOfLife,5,,
Mesopsylla eucta,Rhombomys opimus,pollination,WebOfLife,1,,
Nosopsyllus laeviceps,Rhombomys opimus,pollination,WebOfLife,5,,
Nosopsyllus tersus,Rhombomys opimus,pollination,WebOfLife,4,,
Paradoxopsyllus repandus,Rhombomys opimus,pollination,WebOfLife,5,,
Rhadinopsylla bivirgis,Rhombomys opimus,pollination,WebOfLife,1,,
Rhadinopsylla cedestis,Rhombomys opimus,pollination,WebOfLife,5,,
Rhadinopsylla socia,Rhombomys opimus,pollination,WebOfLife,1,,
Xenopsylla conformis,Rhombomys opimus,pollination,WebOfLife,5,,
Xenopsylla gerbilli,Rhombomys opimus,pollination,WebOfLife,4,,
Xenopsylla hirtipes,Rhombomys opimus,pollination,WebOfLife,4,,
Xenopsylla skrjabini,Rhombomys opimus,pollination,WebOfLife,3,,
Mesopsylla lenis,Stylodipus telum,pollination,WebOfLife,2,,
Mesopsylla tuschkan,Stylodipus telum,pollination,WebOfLife,2,,
Ophthalmopsylla volgensis,Stylodipus telum,pollination,WebOfLife,2,,
Xenopsylla skrjabini,Stylodipus telum,pollination,WebOfLife,2,,
Amphipsylla anceps,Alticola argentatus,pollination,WebOfLife,2,,
Amphipsylla montana,Alticola argentatus,pollination,WebOfLife,2,,
Amphipsylla phaiomydis,Alticola argentatus,pollination,WebOfLife,2,,
Paraneopsylla ioffi,Alticola argentatus,pollination,WebOfLife,2,,
Rhadinopsylla li,Alticola argentatus,pollination,WebOfLife,1,,
Amphipsylla anceps,Marmota caudata,pollination,WebOfLife,1,,
Paraneopsylla ioffi,Marmota caudata,pollination,WebOfLife,2,,
Amphipsylla anceps,Microtus juldaschi,pollination,WebOfLife,2,,
