plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Helichrysum stoechas,Mordellistena pumila,pollination,EuPPollNet,11,Spain,
Cistus albidus,Andrena villipes,pollination,EuPPollNet,3,Spain,
Cistus albidus,Bombus terrestris,pollination,EuPPollNet,16,Spain,
Cistus salviifolius,Psilothrix viridicoerulea,pollination,EuPPollNet,19,Spain,
Carpobrotus acinaciformis,Lasioglossum xanthopus,pollination,EuPPollNet,2,Spain,
Cistus monspeliensis,Oedemera flavipes,pollination,EuPPollNet,198,Spain,
Cistus salviifolius,Andrena villipes,pollination,EuPPollNet,1,Spain,
Tuberaria guttata,Oedemera lurida,pollination,EuPPollNet,1,Spain,
Cistus monspeliensis,Mylabris quadripunctata,pollination,EuPPollNet,1,Spain,
Galactites tomentosus,Apis mellifera,pollination,EuPPollNet,347,Spain,
Urospermum picroides,Panurgus banksianus,pollination,EuPPollNet,2,Spain,
Cistus albidus,Platynochaetus setosus,pollination,EuPPollNet,2,Spain,
Cistus salviifolius,Platynochaetus setosus,pollination,EuPPollNet,29,Spain,
Cistus salviifolius,Andrena cinerea,pollination,EuPPollNet,4,Spain,
Lavandula stoechas,Oxythyrea funesta,pollination,EuPPollNet,1,Spain,
Cistus monspeliensis,Psilothrix viridicoerulea,pollination,EuPPollNet,6,Spain,
Tuberaria guttata,Mordellistena pumila,pollination,EuPPollNet,1,Spain,
Lavandula stoechas,Halictus pyrenaeus,pollination,EuPPollNet,1,Spain,
Helichrysum stoechas,Oxythyrea funesta,pollination,EuPPollNet,4,Spain,
Cistus monspeliensis,Andrena villipes,pollination,EuPPollNet,14,Spain,
Cistus salviifolius,Conophorus virescens,pollination,EuPPollNet,1,Spain,
Cistus salviifolius,Mordellistena pumila,pollination,EuPPollNet,3,Spain,
Cistus monspeliensis,Hylaeus taeniolatus,pollination,EuPPollNet,1,Spain,
Helichrysum stoechas,Oedemera lurida,pollination,EuPPollNet,2,Spain,
Cistus salviifolius,Apis mellifera,pollination,EuPPollNet,736,Spain,
Cistus monspeliensis,Sphecodes gibbus,pollination,EuPPollNet,2,Spain,
Salvia rosmarinus,Oxythyrea funesta,pollination,EuPPollNet,1,Spain,
Cistus monspeliensis,Andrena fabrella,pollination,EuPPollNet,61,Spain,
Cistus albidus,Oedemera flavipes,pollination,EuPPollNet,80,Spain,
Cistus salviifolius,Oedemera flavipes,pollination,EuPPollNet,12,Spain,
Salvia rosmarinus,Callophrys rubi,pollination,EuPPollNet,2,Spain,
Salvia rosmarinus,Platynochaetus setosus,pollination,EuPPollNet,3,Spain,
Cistus salviifolius,Lasioglossum bimaculatum,pollination,EuPPollNet,6,Spain,
Urospermum picroides,Halictus pyrenaeus,pollination,EuPPollNet,3,Spain,
Galactites tomentosus,Halictus quadricinctus,pollination,EuPPollNet,1,Spain,
Galactites tomentosus,Mordellistena pumila,pollination,EuPPollNet,3,Spain,
Galactites tomentosus,Osmia dimidiata,pollination,EuPPollNet,3,Spain,
Galactites tomentosus,Anthidium septemspinosum,pollination,EuPPollNet,1,Spain,
Cistus albidus,Osmia tricornis,pollination,EuPPollNet,5,Spain,
Galactites tomentosus,Oedemera lurida,pollination,EuPPollNet,3,Spain,
Cistus monspeliensis,Apis mellifera,pollination,EuPPollNet,378,Spain,
Cistus monspeliensis,Lasioglossum parvulum,pollination,EuPPollNet,2,Spain,
Cistus monspeliensis,Hylaeus variegatus,pollination,EuPPollNet,1,Spain,
Galactites tomentosus,Oxythyrea funesta,pollination,EuPPollNet,226,Spain,
Cistus albidus,Apis mellifera,pollination,EuPPollNet,128,Spain,
Cistus albidus,Psilothrix viridicoerulea,pollination,EuPPollNet,2,Spain,
Lavandula stoechas,Conophorus virescens,pollination,EuPPollNet,3,Spain,
Cistus monspeliensis,Lasioglossum bimaculatum,pollination,EuPPollNet,3,Spain,
Cistus monspeliensis,Mordellistena pumila,pollination,EuPPollNet,3,Spain,
Bituminaria bituminosa,Conophorus virescens,pollination,EuPPollNet,1,Spain,
Cistus monspeliensis,Rhodanthidium sticticum,pollination,EuPPollNet,2,Spain,
Galactites tomentosus,Bombus terrestris,pollination,EuPPollNet,22,Spain,
Cistus monspeliensis,Andrena haemorrhoa,pollination,EuPPollNet,1,Spain,
Galactites tomentosus,Oedemera nobilis,pollination,EuPPollNet,1,Spain,
