plant,insect,group
"Sorbus aucuparia","Andrena chrysosceles","Bee"
"Stellaria holostea","Andrena chrysosceles","Bee"
"Taraxacum","Andrena chrysosceles","Bee"
"Veronica chamaedrys","Andrena chrysosceles","Bee"
"Aegopodium podagraria","Andrena cineraria","Bee"
"Anthriscus sylvestris","Andrena cineraria","Bee"
"Armeria maritima","Andrena cineraria","Bee"
"Bellis perennis","Andrena cineraria","Bee"
"Brassica napus","Andrena cineraria","Bee"
"Brassica oleracea","Andrena cineraria","Bee"
"Conium maculatum","Andrena cineraria","Bee"
"Crataegus monogyna","Andrena cineraria","Bee"
"Cytisus scoparius","Andrena cineraria","Bee"
"Euphorbia amygdaloides","Andrena cineraria","Bee"
"Ficaria verna","Andrena cineraria","Bee"
"Filipendula vulgaris","Andrena cineraria","Bee"
"Hedera helix","Andrena cineraria","Bee"
"Heracleum sphondylium","Andrena cineraria","Bee"
"Oenanthe crocata","Andrena cineraria","Bee"
"Potentilla erecta","Andrena cineraria","Bee"
"Prunus spinosa","Andrena cineraria","Bee"
"Raphanus raphanistrum","Andrena cineraria","Bee"
"Rhamnus cathartica","Andrena cineraria","Bee"
"Salix alba","Andrena cineraria","Bee"
"Salix aurita","Andrena cineraria","Bee"
"Salix caprea","Andrena cineraria","Bee"
"Salix cinerea","Andrena cineraria","Bee"
"Salix fragilis","Andrena cineraria","Bee"
"Salix pentandra","Andrena cineraria","Bee"
"Salix repens","Andrena cineraria","Bee"
"Salix viminalis","Andrena cineraria","Bee"
"Sinapis arvensis","Andrena cineraria","Bee"
"Sorbus aucuparia","Andrena cineraria","Bee"
"Taraxacum","Andrena cineraria","Bee"
"Ulex europaeus","Andrena cineraria","Bee"
"Ulex gallii","Andrena cineraria","Bee"
"Ulex minor","Andrena cineraria","Bee"
"Vaccinium myrtillus","Andrena cineraria","Bee"
"Veronica chamaedrys","Andrena cineraria","Bee"
"Veronica officinalis","Andrena cineraria","Bee"
"Vicia faba","Andrena cineraria","Bee"
"Angelica sylvestris","Andrena clarkella","Bee"
"Crataegus monogyna","Andrena clarkella","Bee"
"Ficaria verna","Andrena clarkella","Bee"
"Salix alba","Andrena clarkella","Bee"
"Salix aurita","Andrena clarkella","Bee"
"Salix caprea","Andrena clarkella","Bee"
"Salix cinerea","Andrena clarkella","Bee"
"Salix fragilis","Andrena clarkella","Bee"
"Salix pentandra","Andrena clarkella","Bee"
"Salix repens","Andrena clarkella","Bee"
"Salix viminalis","Andrena clarkella","Bee"
"Ulex europaeus","Andrena clarkella","Bee"
"Ulex gallii","Andrena clarkella","Bee"
"Ulex minor","Andrena clarkella","Bee"
"Heracleum sphondylium","Andrena coitana","Bee"
"Rubus caesius","Andrena coitana","Bee"
"Rubus fruticosus","Andrena coitana","Bee"
"Rubus idaeus","Andrena coitana","Bee"
"Rubus spectabilis","Andrena coitana","Bee"
"Daucus carota","Andrena congruens","Bee"
"Heracleum sphondylium","Andrena congruens","Bee"
"Achillea millefolium","Andrena denticulata","Bee"
"Cirsium acaule","Andrena denticulata","Bee"
"Cirsium arvense","Andrena denticulata","Bee"
"Cirsium dissectum","Andrena denticulata","Bee"
"Cirsium eriophorum","Andrena denticulata","Bee"
"Cirsium heterophyllum","Andrena denticulata","Bee"
"Cirsium palustre","Andrena denticulata","Bee"
"Cirsium tuberosum","Andrena denticulata","Bee"
"Cirsium vulgare","Andrena denticulata","Bee"
"Crepis biennis","Andrena denticulata","Bee"
"Crepis capillaris","Andrena denticulata","Bee"
"Crepis vesicaria","Andrena denticulata","Bee"
"Heracleum mantegazzianum","Andrena denticulata","Bee"
"Heracleum sphondylium","Andrena denticulata","Bee"
"Inula conyzae","Andrena denticulata","Bee"
"Inula crithmoides","Andrena denticulata","Bee"
"Inula helenium","Andrena denticulata","Bee"
"Jasione montana","Andrena denticulata","Bee"
"Pulicaria dysenterica","Andrena denticulata","Bee"
"Senecio aquaticus","Andrena denticulata","Bee"
"Senecio cineraria","Andrena denticulata","Bee"
"Senecio erucifolius","Andrena denticulata","Bee"
"Senecio jacobaea","Andrena denticulata","Bee"
"Senecio squalidus","Andrena denticulata","Bee"
"Senecio vulgaris","Andrena denticulata","Bee"
"Solidago canadensis","Andrena denticulata","Bee"
"Solidago virgaurea","Andrena denticulata","Bee"
"Tripleurospermum inodorum","Andrena denticulata","Bee"
"Acer campestre","Andrena dorsata","Bee"
"Acer pseudoplatanus","Andrena dorsata","Bee"
"Allium schoenoprasum","Andrena dorsata","Bee"
"Allium sphaerocephalon","Andrena dorsata","Bee"
"Allium triquetrum","Andrena dorsata","Bee"
"Allium ursinum","Andrena dorsata","Bee"
"Angelica sylvestris","Andrena dorsata","Bee"
"Bryonia dioica","Andrena dorsata","Bee"
"Calluna vulgaris","Andrena dorsata","Bee"
"Cerastium fontanum","Andrena dorsata","Bee"
"Cirsium arvense","Andrena dorsata","Bee"
"Crataegus monogyna","Andrena dorsata","Bee"
"Daucus carota","Andrena dorsata","Bee"
"Eryngium maritimum","Andrena dorsata","Bee"
"Foeniculum vulgare","Andrena dorsata","Bee"
"Geranium dissectum","Andrena dorsata","Bee"
"Geranium endressii","Andrena dorsata","Bee"
"Geranium molle","Andrena dorsata","Bee"
"Geranium phaeum","Andrena dorsata","Bee"
"Geranium pratense","Andrena dorsata","Bee"
"Geranium pyrenaicum","Andrena dorsata","Bee"
"Geranium robertianum","Andrena dorsata","Bee"
"Geranium sanguineum","Andrena dorsata","Bee"
"Geranium sylvaticum","Andrena dorsata","Bee"
"Heracleum sphondylium","Andrena dorsata","Bee"
"Hypericum perforatum","Andrena dorsata","Bee"
"Knautia arvensis","Andrena dorsata","Bee"
"Laurus nobilis","Andrena dorsata","Bee"
"Leucanthemum vulgare","Andrena dorsata","Bee"
"Limonium binervosum","Andrena dorsata","Bee"
"Limonium vulgare","Andrena dorsata","Bee"
"Lotus pedunculatus","Andrena dorsata","Bee"
"Pastinaca sativa","Andrena dorsata","Bee"
"Persicaria maculosa","Andrena dorsata","Bee"
"Petroselinum crispum","Andrena dorsata","Bee"
"Peucedanum officinale","Andrena dorsata","Bee"
"Peucedanum palustre","Andrena dorsata","Bee"
"Pimpinella saxifraga","Andrena dorsata","Bee"
"Potentilla erecta","Andrena dorsata","Bee"
"Potentilla reptans","Andrena dorsata","Bee"
"Prunus avium","Andrena dorsata","Bee"
"Prunus cerasifera","Andrena dorsata","Bee"
"Prunus cerasus","Andrena dorsata","Bee"
"Prunus domestica","Andrena dorsata","Bee"
"Prunus laurocerasus","Andrena dorsata","Bee"
"Prunus padus","Andrena dorsata","Bee"
"Prunus spinosa","Andrena dorsata","Bee"
"Raphanus raphanistrum","Andrena dorsata","Bee"
"Reseda lutea","Andrena dorsata","Bee"
"Rhododendron ponticum","Andrena dorsata","Bee"
"Rubus caesius","Andrena dorsata","Bee"
"Rubus fruticosus","Andrena dorsata","Bee"
"Rubus idaeus","Andrena dorsata","Bee"
"Rubus spectabilis","Andrena dorsata","Bee"
"Salix alba","Andrena dorsata","Bee"
"Salix aurita","Andrena dorsata","Bee"
"Salix caprea","Andrena dorsata","Bee"
"Salix cinerea","Andrena dorsata","Bee"
"Salix fragilis","Andrena dorsata","Bee"
"Salix pentandra","Andrena dorsata","Bee"
"Salix repens","Andrena dorsata","Bee"
"Salix viminalis","Andrena dorsata","Bee"
"Senecio aquaticus","Andrena dorsata","Bee"
"Senecio cineraria","Andrena dorsata","Bee"
"Senecio erucifolius","Andrena dorsata","Bee"
"Senecio jacobaea","Andrena dorsata","Bee"
"Senecio squalidus","Andrena dorsata","Bee"
"Senecio vulgaris","Andrena dorsata","Bee"
"Smyrnium olusatrum","Andrena dorsata","Bee"
"Stellaria holostea","Andrena dorsata","Bee"
"Symphytum asperum x officinale = S. x uplandicum","Andrena dorsata","Bee"
"Symphytum officinale","Andrena dorsata","Bee"
"Thymus polytrichus","Andrena dorsata","Bee"
"Thymus pulegioides","Andrena dorsata","Bee"
"Thymus serpyllum","Andrena dorsata","Bee"
"Torilis japonica","Andrena dorsata","Bee"
"Trifolium repens","Andrena dorsata","Bee"
